Occupational Area,Typical Annual Salary,Counties
Food Preparation & Serving Related,"$40,820 ",Clinton County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Clinton County
Personal Care & Service,"$44,260 ",Clinton County
Sales & Related,"$66,550 ",Clinton County
Office & Administrative Support,"$52,820 ",Clinton County
"Farming, Fishing, & Forestry","$41,320 ",Clinton County
Construction & Extraction,"$72,430 ",Clinton County
"Installation, Maintenance, & Repair","$61,100 ",Clinton County
Production,"$47,900 ",Clinton County
Transportation & Material Moving,"$50,710 ",Clinton County
Management,"$170,150 ",Columbia County
Business & Financial Operations,"$107,140 ",Columbia County
Computer & Mathematical,"$117,170 ",Columbia County
Architecture & Engineering,"$94,490 ",Columbia County
"Life, Physical, & Social Science","$88,260 ",Columbia County
Community & Social Service,"$62,520 ",Columbia County
Legal,"$155,400 ",Columbia County
"Education, Training, & Library","$78,630 ",Columbia County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Columbia County
Healthcare Practitioners & Technical,"$110,890 ",Columbia County
Healthcare Support,"$38,190 ",Columbia County
Protective Service,"$61,410 ",Columbia County
Food Preparation & Serving Related,"$40,820 ",Columbia County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Columbia County
Personal Care & Service,"$44,260 ",Columbia County
Sales & Related,"$66,550 ",Columbia County
Office & Administrative Support,"$52,820 ",Columbia County
"Farming, Fishing, & Forestry","$41,320 ",Columbia County
Construction & Extraction,"$72,430 ",Columbia County
"Installation, Maintenance, & Repair","$61,100 ",Columbia County
Production,"$47,900 ",Columbia County
Transportation & Material Moving,"$50,710 ",Columbia County
Management,"$170,150 ",Cortland County
Business & Financial Operations,"$107,140 ",Cortland County
Computer & Mathematical,"$117,170 ",Cortland County
Architecture & Engineering,"$94,490 ",Cortland County
"Life, Physical, & Social Science","$88,260 ",Cortland County
Community & Social Service,"$62,520 ",Cortland County
Legal,"$155,400 ",Cortland County
"Education, Training, & Library","$78,630 ",Cortland County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Cortland County
Healthcare Practitioners & Technical,"$110,890 ",Cortland County
Healthcare Support,"$38,190 ",Cortland County
Protective Service,"$61,410 ",Cortland County
Food Preparation & Serving Related,"$40,820 ",Cortland County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Cortland County
Personal Care & Service,"$44,260 ",Cortland County
Sales & Related,"$66,550 ",Cortland County
Office & Administrative Support,"$52,820 ",Cortland County
"Farming, Fishing, & Forestry","$41,320 ",Cortland County
Construction & Extraction,"$72,430 ",Cortland County
"Installation, Maintenance, & Repair","$61,100 ",Cortland County
Production,"$47,900 ",Cortland County
Transportation & Material Moving,"$50,710 ",Cortland County
Management,"$170,150 ",Delaware County
Business & Financial Operations,"$107,140 ",Delaware County
Computer & Mathematical,"$117,170 ",Delaware County
Architecture & Engineering,"$94,490 ",Delaware County
"Life, Physical, & Social Science","$88,260 ",Delaware County
Community & Social Service,"$62,520 ",Delaware County
Legal,"$155,400 ",Delaware County
"Education, Training, & Library","$78,630 ",Delaware County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Delaware County
Healthcare Practitioners & Technical,"$110,890 ",Delaware County
Healthcare Support,"$38,190 ",Delaware County
Protective Service,"$61,410 ",Delaware County
Food Preparation & Serving Related,"$40,820 ",Delaware County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Delaware County
Personal Care & Service,"$44,260 ",Delaware County
Sales & Related,"$66,550 ",Delaware County
Office & Administrative Support,"$52,820 ",Delaware County
"Farming, Fishing, & Forestry","$41,320 ",Delaware County
Construction & Extraction,"$72,430 ",Delaware County
"Installation, Maintenance, & Repair","$61,100 ",Delaware County
Production,"$47,900 ",Delaware County
Transportation & Material Moving,"$50,710 ",Delaware County
Management,"$170,150 ",Dutchess County
Business & Financial Operations,"$107,140 ",Dutchess County
Computer & Mathematical,"$117,170 ",Dutchess County
Architecture & Engineering,"$94,490 ",Dutchess County
"Life, Physical, & Social Science","$88,260 ",Dutchess County
Community & Social Service,"$62,520 ",Dutchess County
Legal,"$155,400 ",Dutchess County
"Education, Training, & Library","$78,630 ",Dutchess County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Dutchess County
Healthcare Practitioners & Technical,"$110,890 ",Dutchess County
Healthcare Support,"$38,190 ",Dutchess County
Protective Service,"$61,410 ",Dutchess County
Food Preparation & Serving Related,"$40,820 ",Dutchess County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Dutchess County
Personal Care & Service,"$44,260 ",Dutchess County
Sales & Related,"$66,550 ",Dutchess County
Office & Administrative Support,"$52,820 ",Dutchess County
"Farming, Fishing, & Forestry","$41,320 ",Dutchess County
Construction & Extraction,"$72,430 ",Dutchess County
"Installation, Maintenance, & Repair","$61,100 ",Dutchess County
Production,"$47,900 ",Dutchess County
Transportation & Material Moving,"$50,710 ",Dutchess County
Management,"$170,150 ",Erie County
Business & Financial Operations,"$107,140 ",Erie County
Computer & Mathematical,"$117,170 ",Erie County
Architecture & Engineering,"$94,490 ",Erie County
"Life, Physical, & Social Science","$88,260 ",Erie County
Community & Social Service,"$62,520 ",Erie County
Legal,"$155,400 ",Erie County
"Education, Training, & Library","$78,630 ",Erie County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Erie County
Healthcare Practitioners & Technical,"$110,890 ",Erie County
Healthcare Support,"$38,190 ",Erie County
Protective Service,"$61,410 ",Erie County
Food Preparation & Serving Related,"$40,820 ",Erie County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Erie County
Personal Care & Service,"$44,260 ",Erie County
Sales & Related,"$66,550 ",Erie County
Office & Administrative Support,"$52,820 ",Erie County
"Farming, Fishing, & Forestry","$41,320 ",Erie County
Construction & Extraction,"$72,430 ",Erie County
"Installation, Maintenance, & Repair","$61,100 ",Erie County
Production,"$47,900 ",Erie County
Transportation & Material Moving,"$50,710 ",Erie County
Management,"$170,150 ",Essex County
Business & Financial Operations,"$107,140 ",Essex County
Computer & Mathematical,"$117,170 ",Essex County
Architecture & Engineering,"$94,490 ",Essex County
"Life, Physical, & Social Science","$88,260 ",Essex County
Community & Social Service,"$62,520 ",Essex County
Legal,"$155,400 ",Essex County
"Education, Training, & Library","$78,630 ",Essex County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Essex County
Healthcare Practitioners & Technical,"$110,890 ",Essex County
Healthcare Support,"$38,190 ",Essex County
Protective Service,"$61,410 ",Essex County
Food Preparation & Serving Related,"$40,820 ",Essex County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Essex County
Personal Care & Service,"$44,260 ",Essex County
Sales & Related,"$66,550 ",Essex County
Office & Administrative Support,"$52,820 ",Essex County
"Farming, Fishing, & Forestry","$41,320 ",Essex County
Construction & Extraction,"$72,430 ",Essex County
"Installation, Maintenance, & Repair","$61,100 ",Essex County
Production,"$47,900 ",Essex County
Transportation & Material Moving,"$50,710 ",Essex County
Management,"$170,150 ",Franklin County
Business & Financial Operations,"$107,140 ",Franklin County
Computer & Mathematical,"$117,170 ",Franklin County
Architecture & Engineering,"$94,490 ",Franklin County
"Life, Physical, & Social Science","$88,260 ",Franklin County
Community & Social Service,"$62,520 ",Franklin County
Legal,"$155,400 ",Franklin County
"Education, Training, & Library","$78,630 ",Franklin County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Franklin County
Healthcare Practitioners & Technical,"$110,890 ",Franklin County
Healthcare Support,"$38,190 ",Franklin County
Protective Service,"$61,410 ",Franklin County
Food Preparation & Serving Related,"$40,820 ",Franklin County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Franklin County
Personal Care & Service,"$44,260 ",Franklin County
Sales & Related,"$66,550 ",Franklin County
Office & Administrative Support,"$52,820 ",Franklin County
"Farming, Fishing, & Forestry","$41,320 ",Franklin County
Construction & Extraction,"$72,430 ",Franklin County
"Installation, Maintenance, & Repair","$61,100 ",Franklin County
Production,"$47,900 ",Franklin County
Transportation & Material Moving,"$50,710 ",Franklin County
Management,"$170,150 ",Fulton County
Business & Financial Operations,"$107,140 ",Fulton County
Computer & Mathematical,"$117,170 ",Fulton County
Architecture & Engineering,"$94,490 ",Fulton County
"Life, Physical, & Social Science","$88,260 ",Fulton County
Community & Social Service,"$62,520 ",Fulton County
Legal,"$155,400 ",Fulton County
"Education, Training, & Library","$78,630 ",Fulton County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Fulton County
Healthcare Practitioners & Technical,"$110,890 ",Fulton County
Healthcare Support,"$38,190 ",Fulton County
Protective Service,"$61,410 ",Fulton County
Food Preparation & Serving Related,"$40,820 ",Fulton County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Fulton County
Personal Care & Service,"$44,260 ",Fulton County
Sales & Related,"$66,550 ",Fulton County
Office & Administrative Support,"$52,820 ",Fulton County
"Farming, Fishing, & Forestry","$41,320 ",Fulton County
Construction & Extraction,"$72,430 ",Fulton County
"Installation, Maintenance, & Repair","$61,100 ",Fulton County
Production,"$47,900 ",Fulton County
Transportation & Material Moving,"$50,710 ",Fulton County
Management,"$170,150 ",Genesee County
Business & Financial Operations,"$107,140 ",Genesee County
Computer & Mathematical,"$117,170 ",Genesee County
Architecture & Engineering,"$94,490 ",Genesee County
"Life, Physical, & Social Science","$88,260 ",Genesee County
Community & Social Service,"$62,520 ",Genesee County
Legal,"$155,400 ",Genesee County
"Education, Training, & Library","$78,630 ",Genesee County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Genesee County
Healthcare Practitioners & Technical,"$110,890 ",Genesee County
Healthcare Support,"$38,190 ",Genesee County
Protective Service,"$61,410 ",Genesee County
Food Preparation & Serving Related,"$40,820 ",Genesee County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Genesee County
Personal Care & Service,"$44,260 ",Genesee County
Sales & Related,"$66,550 ",Genesee County
Office & Administrative Support,"$52,820 ",Genesee County
"Farming, Fishing, & Forestry","$41,320 ",Genesee County
Construction & Extraction,"$72,430 ",Genesee County
"Installation, Maintenance, & Repair","$61,100 ",Genesee County
Production,"$47,900 ",Genesee County
Transportation & Material Moving,"$50,710 ",Genesee County
Management,"$170,150 ",Greene County
Business & Financial Operations,"$107,140 ",Greene County
Computer & Mathematical,"$117,170 ",Greene County
Architecture & Engineering,"$94,490 ",Greene County
"Life, Physical, & Social Science","$88,260 ",Greene County
Community & Social Service,"$62,520 ",Greene County
Legal,"$155,400 ",Greene County
"Education, Training, & Library","$78,630 ",Greene County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Greene County
Healthcare Practitioners & Technical,"$110,890 ",Greene County
Healthcare Support,"$38,190 ",Greene County
Protective Service,"$61,410 ",Greene County
Food Preparation & Serving Related,"$40,820 ",Greene County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Greene County
Personal Care & Service,"$44,260 ",Greene County
Sales & Related,"$66,550 ",Greene County
Office & Administrative Support,"$52,820 ",Greene County
"Farming, Fishing, & Forestry","$41,320 ",Greene County
Construction & Extraction,"$72,430 ",Greene County
"Installation, Maintenance, & Repair","$61,100 ",Greene County
Production,"$47,900 ",Greene County
Transportation & Material Moving,"$50,710 ",Greene County
Management,"$170,150 ",Hamilton County
Business & Financial Operations,"$107,140 ",Hamilton County
Computer & Mathematical,"$117,170 ",Hamilton County
Architecture & Engineering,"$94,490 ",Hamilton County
"Life, Physical, & Social Science","$88,260 ",Hamilton County
Community & Social Service,"$62,520 ",Hamilton County
Legal,"$155,400 ",Hamilton County
"Education, Training, & Library","$78,630 ",Hamilton County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Hamilton County
Healthcare Practitioners & Technical,"$110,890 ",Hamilton County
Healthcare Support,"$38,190 ",Hamilton County
Protective Service,"$61,410 ",Hamilton County
Food Preparation & Serving Related,"$40,820 ",Hamilton County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Hamilton County
Personal Care & Service,"$44,260 ",Hamilton County
Sales & Related,"$66,550 ",Hamilton County
Office & Administrative Support,"$52,820 ",Hamilton County
"Farming, Fishing, & Forestry","$41,320 ",Hamilton County
Construction & Extraction,"$72,430 ",Hamilton County
"Installation, Maintenance, & Repair","$61,100 ",Hamilton County
Production,"$47,900 ",Hamilton County
Transportation & Material Moving,"$50,710 ",Hamilton County
Management,"$170,150 ",Herkimer County
Business & Financial Operations,"$107,140 ",Herkimer County
Computer & Mathematical,"$117,170 ",Herkimer County
Architecture & Engineering,"$94,490 ",Herkimer County
"Life, Physical, & Social Science","$88,260 ",Herkimer County
Community & Social Service,"$62,520 ",Herkimer County
Legal,"$155,400 ",Herkimer County
"Education, Training, & Library","$78,630 ",Herkimer County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Herkimer County
Healthcare Practitioners & Technical,"$110,890 ",Herkimer County
Healthcare Support,"$38,190 ",Herkimer County
Protective Service,"$61,410 ",Herkimer County
Food Preparation & Serving Related,"$40,820 ",Herkimer County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Herkimer County
Personal Care & Service,"$44,260 ",Herkimer County
Sales & Related,"$66,550 ",Herkimer County
Office & Administrative Support,"$52,820 ",Herkimer County
"Farming, Fishing, & Forestry","$41,320 ",Herkimer County
Construction & Extraction,"$72,430 ",Herkimer County
"Installation, Maintenance, & Repair","$61,100 ",Herkimer County
Production,"$47,900 ",Herkimer County
Transportation & Material Moving,"$50,710 ",Herkimer County
Management,"$170,150 ",Jefferson County
Business & Financial Operations,"$107,140 ",Jefferson County
Computer & Mathematical,"$117,170 ",Jefferson County
Architecture & Engineering,"$94,490 ",Jefferson County
"Life, Physical, & Social Science","$88,260 ",Jefferson County
Community & Social Service,"$62,520 ",Jefferson County
Legal,"$155,400 ",Jefferson County
"Education, Training, & Library","$78,630 ",Jefferson County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Jefferson County
Healthcare Practitioners & Technical,"$110,890 ",Jefferson County
Healthcare Support,"$38,190 ",Jefferson County
Protective Service,"$61,410 ",Jefferson County
Food Preparation & Serving Related,"$40,820 ",Jefferson County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Jefferson County
Personal Care & Service,"$44,260 ",Jefferson County
Sales & Related,"$66,550 ",Jefferson County
Office & Administrative Support,"$52,820 ",Jefferson County
"Farming, Fishing, & Forestry","$41,320 ",Jefferson County
Construction & Extraction,"$72,430 ",Jefferson County
"Installation, Maintenance, & Repair","$61,100 ",Jefferson County
Production,"$47,900 ",Jefferson County
Transportation & Material Moving,"$50,710 ",Jefferson County
Management,"$170,150 ",Kings County
Business & Financial Operations,"$107,140 ",Kings County
Computer & Mathematical,"$117,170 ",Kings County
Architecture & Engineering,"$94,490 ",Kings County
"Life, Physical, & Social Science","$88,260 ",Kings County
Community & Social Service,"$62,520 ",Kings County
Legal,"$155,400 ",Kings County
"Education, Training, & Library","$78,630 ",Kings County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Kings County
Healthcare Practitioners & Technical,"$110,890 ",Kings County
Healthcare Support,"$38,190 ",Kings County
Protective Service,"$61,410 ",Kings County
Food Preparation & Serving Related,"$40,820 ",Kings County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Kings County
Personal Care & Service,"$44,260 ",Kings County
Sales & Related,"$66,550 ",Kings County
Office & Administrative Support,"$52,820 ",Kings County
"Farming, Fishing, & Forestry","$41,320 ",Kings County
Construction & Extraction,"$72,430 ",Kings County
"Installation, Maintenance, & Repair","$61,100 ",Kings County
Production,"$47,900 ",Kings County
Transportation & Material Moving,"$50,710 ",Kings County
Management,"$170,150 ",Lewis County
Business & Financial Operations,"$107,140 ",Lewis County
Computer & Mathematical,"$117,170 ",Lewis County
Architecture & Engineering,"$94,490 ",Lewis County
"Life, Physical, & Social Science","$88,260 ",Lewis County
Community & Social Service,"$62,520 ",Lewis County
Legal,"$155,400 ",Lewis County
"Education, Training, & Library","$78,630 ",Lewis County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Lewis County
Healthcare Practitioners & Technical,"$110,890 ",Lewis County
Healthcare Support,"$38,190 ",Lewis County
Protective Service,"$61,410 ",Lewis County
Food Preparation & Serving Related,"$40,820 ",Lewis County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Lewis County
Personal Care & Service,"$44,260 ",Lewis County
Sales & Related,"$66,550 ",Lewis County
Office & Administrative Support,"$52,820 ",Lewis County
"Farming, Fishing, & Forestry","$41,320 ",Lewis County
Construction & Extraction,"$72,430 ",Lewis County
"Installation, Maintenance, & Repair","$61,100 ",Lewis County
Production,"$47,900 ",Lewis County
Transportation & Material Moving,"$50,710 ",Lewis County
Management,"$170,150 ",Livingston County
Business & Financial Operations,"$107,140 ",Livingston County
Computer & Mathematical,"$117,170 ",Livingston County
Architecture & Engineering,"$94,490 ",Livingston County
"Life, Physical, & Social Science","$88,260 ",Livingston County
Community & Social Service,"$62,520 ",Livingston County
Legal,"$155,400 ",Livingston County
"Education, Training, & Library","$78,630 ",Livingston County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Livingston County
Healthcare Practitioners & Technical,"$110,890 ",Livingston County
Healthcare Support,"$38,190 ",Livingston County
Protective Service,"$61,410 ",Livingston County
Food Preparation & Serving Related,"$40,820 ",Livingston County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Livingston County
Personal Care & Service,"$44,260 ",Livingston County
Sales & Related,"$66,550 ",Livingston County
Office & Administrative Support,"$52,820 ",Livingston County
"Farming, Fishing, & Forestry","$41,320 ",Livingston County
