Fields,1 Adult - 0ÊChildren,1 Adult - 1ÊChild,1 Adult - 2ÊChildren,1 Adult - 3ÊChildren,2 Adults (1 W) - 0ÊChildren,2 Adults (1 W) - 1ÊChild,2 Adults (1 W)  - 2ÊChildren,2 Adults (1 W) - 3ÊChildren,2 Adults (Both W) - 0ÊChildren,2 Adults (Both W) - 1ÊChild,2 Adults (Both W) - 2ÊChildren,2 Adults (Both W) - 3ÊChildren,Counties 
Required annual income after taxes,"$45,093 ","$82,696 ","$106,780 ","$136,951 ","$59,814 ","$70,759 ","$79,605 ","$87,615 ","$59,814 ","$90,008 ","$116,514 ","$138,945 ",Bronx County
Annual taxes,"$8,898 ","$14,705 ","$20,516 ","$30,018 ","$10,012 ","$10,382 ","$10,218 ","$9,839 ","$10,012 ","$14,581 ","$18,735 ","$24,774 ",Bronx County
Required annual income before taxes,"$53,991 ","$97,401 ","$127,296 ","$166,969 ","$69,826 ","$81,141 ","$89,823 ","$97,454 ","$69,826 ","$104,589 ","$135,249 ","$163,719 ",Bronx County
Food,"$4,382 ","$6,460 ","$9,690 ","$12,879 ","$8,034 ","$10,001 ","$12,880 ","$15,704 ","$8,034 ","$10,001 ","$12,880 ","$15,704 ",Broome County
Child Care,$0 ,"$12,778 ","$24,873 ","$36,039 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,778 ","$24,873 ","$36,039 ",Broome County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Broome County
Housing,"$10,286 ","$13,726 ","$13,726 ","$17,973 ","$10,875 ","$13,726 ","$13,726 ","$17,973 ","$10,875 ","$13,726 ","$13,726 ","$17,973 ",Broome County
Transportation,"$9,130 ","$10,566 ","$13,309 ","$15,314 ","$10,566 ","$13,309 ","$15,314 ","$15,296 ","$10,566 ","$13,309 ","$15,314 ","$15,296 ",Broome County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Broome County
Internet & Mobile,"$1,438 ","$1,438 ","$1,438 ","$1,438 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ",Broome County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Broome County
Required annual income after taxes,"$36,233 ","$66,592 ","$86,383 ","$111,861 ","$50,939 ","$62,386 ","$72,142 ","$77,706 ","$50,939 ","$75,164 ","$97,016 ","$113,745 ",Broome County
Annual taxes,"$6,628 ","$9,811 ","$12,914 ","$20,020 ","$7,744 ","$8,239 ","$8,306 ","$7,301 ","$7,744 ","$10,778 ","$13,213 ","$15,318 ",Broome County
Required annual income before taxes,"$42,861 ","$76,403 ","$99,297 ","$131,881 ","$58,683 ","$70,625 ","$80,448 ","$85,007 ","$58,683 ","$85,942 ","$110,229 ","$129,063 ",Broome County
Food,"$3,988 ","$5,879 ","$8,818 ","$11,720 ","$7,311 ","$9,101 ","$11,721 ","$14,291 ","$7,311 ","$9,101 ","$11,721 ","$14,291 ",Cattaraugus County
Child Care,$0 ,"$12,543 ","$24,416 ","$35,375 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,543 ","$24,416 ","$35,375 ",Cattaraugus County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Cattaraugus County
Housing,"$8,504 ","$10,916 ","$10,916 ","$13,727 ","$8,552 ","$10,916 ","$10,916 ","$13,727 ","$8,552 ","$10,916 ","$10,916 ","$13,727 ",Cattaraugus County
Transportation,"$10,318 ","$11,941 ","$15,041 ","$17,307 ","$11,941 ","$15,041 ","$17,307 ","$17,287 ","$11,941 ","$15,041 ","$17,307 ","$17,287 ",Cattaraugus County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Cattaraugus County
Internet & Mobile,"$1,370 ","$1,370 ","$1,370 ","$1,370 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ",Cattaraugus County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Cattaraugus County
Required annual income after taxes,"$34,732 ","$62,937 ","$82,572 ","$106,382 ","$48,373 ","$59,005 ","$68,763 ","$72,634 ","$48,373 ","$71,548 ","$93,179 ","$108,009 ",Cattaraugus County
Annual taxes,"$6,243 ","$8,759 ","$11,498 ","$17,937 ","$7,089 ","$7,375 ","$7,440 ","$6,001 ","$7,089 ","$9,841 ","$12,230 ","$13,600 ",Cattaraugus County
Required annual income before taxes,"$40,976 ","$71,696 ","$94,069 ","$124,319 ","$55,462 ","$66,380 ","$76,203 ","$78,636 ","$55,462 ","$81,389 ","$105,409 ","$121,609 ",Cattaraugus County
Food,"$4,270 ","$6,294 ","$9,441 ","$12,548 ","$7,828 ","$9,744 ","$12,549 ","$15,301 ","$7,828 ","$9,744 ","$12,549 ","$15,301 ",Cayuga County
Child Care,$0 ,"$12,857 ","$25,028 ","$36,262 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,857 ","$25,028 ","$36,262 ",Cayuga County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Cayuga County
Housing,"$8,781 ","$11,555 ","$11,555 ","$14,595 ","$8,842 ","$11,555 ","$11,555 ","$14,595 ","$8,842 ","$11,555 ","$11,555 ","$14,595 ",Cayuga County
Transportation,"$10,345 ","$11,973 ","$15,081 ","$17,353 ","$11,973 ","$15,081 ","$17,353 ","$17,333 ","$11,973 ","$15,081 ","$17,353 ","$17,333 ",Cayuga County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Cayuga County
Internet & Mobile,"$1,482 ","$1,482 ","$1,482 ","$1,482 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ",Cayuga County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Cayuga County
Required annual income after taxes,"$35,874 ","$65,784 ","$85,932 ","$110,458 ","$50,148 ","$61,773 ","$71,723 ","$76,004 ","$50,148 ","$74,630 ","$96,750 ","$112,266 ",Cayuga County
Annual taxes,"$6,536 ","$9,579 ","$12,746 ","$19,469 ","$7,542 ","$8,083 ","$8,198 ","$6,865 ","$7,542 ","$10,641 ","$13,145 ","$14,792 ",Cayuga County
Required annual income before taxes,"$42,410 ","$75,363 ","$98,678 ","$129,926 ","$57,690 ","$69,856 ","$79,921 ","$82,869 ","$57,690 ","$85,271 ","$109,895 ","$127,058 ",Cayuga County
Food,"$4,168 ","$6,145 ","$9,216 ","$12,250 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ",Chautauqua County
Child Care,$0 ,"$12,719 ","$24,758 ","$35,872 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,719 ","$24,758 ","$35,872 ",Chautauqua County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Chautauqua County
Housing,"$7,985 ","$10,916 ","$10,916 ","$14,089 ","$8,576 ","$10,916 ","$10,916 ","$14,089 ","$8,576 ","$10,916 ","$10,916 ","$14,089 ",Chautauqua County
Transportation,"$9,724 ","$11,253 ","$14,175 ","$16,310 ","$11,253 ","$14,175 ","$16,310 ","$16,292 ","$11,253 ","$14,175 ","$16,310 ","$16,292 ",Chautauqua County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Chautauqua County
Internet & Mobile,"$1,369 ","$1,369 ","$1,369 ","$1,369 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ",Chautauqua County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Chautauqua County
Required annual income after taxes,"$33,800 ","$62,691 ","$82,446 ","$106,773 ","$48,040 ","$58,550 ","$68,296 ","$72,646 ","$48,040 ","$71,269 ","$93,054 ","$108,518 ",Chautauqua County
Annual taxes,"$6,005 ","$8,688 ","$11,453 ","$18,083 ","$7,011 ","$7,259 ","$7,320 ","$6,005 ","$7,011 ","$9,760 ","$12,198 ","$13,730 ",Chautauqua County
Required annual income before taxes,"$39,804 ","$71,379 ","$93,899 ","$124,856 ","$55,050 ","$65,809 ","$75,616 ","$78,651 ","$55,050 ","$81,029 ","$105,252 ","$122,248 ",Chautauqua County
Food,"$4,180 ","$6,161 ","$9,241 ","$12,283 ","$7,663 ","$9,538 ","$12,284 ","$14,978 ","$7,663 ","$9,538 ","$12,284 ","$14,978 ",Chemung County
Child Care,$0 ,"$13,146 ","$25,590 ","$37,077 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$13,146 ","$25,590 ","$37,077 ",Chemung County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Chemung County
Housing,"$10,916 ","$14,571 ","$14,571 ","$18,817 ","$11,121 ","$14,571 ","$14,571 ","$18,817 ","$11,121 ","$14,571 ","$14,571 ","$18,817 ",Chemung County
Transportation,"$9,837 ","$11,385 ","$14,341 ","$16,501 ","$11,385 ","$14,341 ","$16,501 ","$16,482 ","$11,385 ","$14,341 ","$16,501 ","$16,482 ",Chemung County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Chemung County
Internet & Mobile,"$1,417 ","$1,417 ","$1,417 ","$1,417 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ",Chemung County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Chemung County
Required annual income after taxes,"$37,347 ","$68,303 ","$88,506 ","$114,313 ","$51,611 ","$63,778 ","$73,557 ","$78,987 ","$51,611 ","$76,924 ","$99,147 ","$116,065 ",Chemung County
Annual taxes,"$6,913 ","$10,304 ","$13,705 ","$20,983 ","$7,916 ","$8,595 ","$8,668 ","$7,629 ","$7,916 ","$11,229 ","$13,759 ","$16,145 ",Chemung County
Required annual income before taxes,"$44,260 ","$78,607 ","$102,211 ","$135,296 ","$59,526 ","$72,373 ","$82,225 ","$86,617 ","$59,526 ","$88,153 ","$112,906 ","$132,210 ",Chemung County
Food,"$3,875 ","$5,713 ","$8,569 ","$11,389 ","$7,105 ","$8,844 ","$11,390 ","$13,888 ","$7,105 ","$8,844 ","$11,390 ","$13,888 ",Chenango County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Chenango County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Chenango County
Housing,"$8,106 ","$10,916 ","$10,916 ","$14,643 ","$9,372 ","$10,916 ","$10,916 ","$14,643 ","$9,372 ","$10,916 ","$10,916 ","$14,643 ",Chenango County
Transportation,"$10,401 ","$12,037 ","$15,163 ","$17,447 ","$12,037 ","$15,163 ","$17,447 ","$17,426 ","$12,037 ","$15,163 ","$17,447 ","$17,426 ",Chenango County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Chenango County
Internet & Mobile,"$1,438 ","$1,438 ","$1,438 ","$1,438 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ","$2,004 ",Chenango County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Chenango County
Required annual income after taxes,"$34,765 ","$63,268 ","$82,044 ","$105,968 ","$49,881 ","$60,116 ","$69,819 ","$74,534 ","$49,881 ","$71,813 ","$92,587 ","$107,522 ",Chenango County
Annual taxes,"$6,252 ","$8,854 ","$11,309 ","$17,783 ","$7,474 ","$7,659 ","$7,710 ","$6,488 ","$7,474 ","$9,919 ","$12,079 ","$13,475 ",Chenango County
Required annual income before taxes,"$41,017 ","$72,122 ","$93,353 ","$123,751 ","$57,355 ","$67,776 ","$77,529 ","$81,022 ","$57,355 ","$81,732 ","$104,666 ","$120,997 ",Chenango County
Food,"$4,326 ","$6,377 ","$9,565 ","$12,713 ","$7,931 ","$9,872 ","$12,715 ","$15,502 ","$7,931 ","$9,872 ","$12,715 ","$15,502 ",Clinton County
Child Care,$0 ,"$12,684 ","$24,691 ","$35,775 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,684 ","$24,691 ","$35,775 ",Clinton County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Clinton County
Housing,"$9,903 ","$12,629 ","$12,629 ","$15,476 ","$9,963 ","$12,629 ","$12,629 ","$15,476 ","$9,963 ","$12,629 ","$12,629 ","$15,476 ",Clinton County
Transportation,"$10,220 ","$11,827 ","$14,898 ","$17,143 ","$11,827 ","$14,898 ","$17,143 ","$17,123 ","$11,827 ","$14,898 ","$17,143 ","$17,123 ",Clinton County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Clinton County
Internet & Mobile,"$1,499 ","$1,499 ","$1,499 ","$1,499 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ",Clinton County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Clinton County
Required annual income after taxes,"$36,892 ","$66,484 ","$86,472 ","$110,667 ","$51,149 ","$62,654 ","$72,612 ","$76,738 ","$51,149 ","$75,338 ","$97,304 ","$112,513 ",Clinton County
Annual taxes,"$6,797 ","$9,780 ","$12,947 ","$19,551 ","$7,798 ","$8,308 ","$8,426 ","$7,053 ","$7,798 ","$10,822 ","$13,287 ","$14,880 ",Clinton County
Required annual income before taxes,"$43,689 ","$76,264 ","$99,420 ","$130,218 ","$58,946 ","$70,961 ","$81,039 ","$83,790 ","$58,946 ","$86,160 ","$110,591 ","$127,392 ",Clinton County
Food,"$4,472 ","$6,593 ","$9,889 ","$13,144 ","$8,200 ","$10,207 ","$13,145 ","$16,027 ","$8,200 ","$10,207 ","$13,145 ","$16,027 ",Columbia County
Child Care,$0 ,"$14,989 ","$28,900 ","$41,107 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$14,989 ","$28,900 ","$41,107 ",Columbia County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Columbia County
Housing,"$12,448 ","$14,354 ","$14,354 ","$17,357 ","$12,569 ","$14,354 ","$14,354 ","$17,357 ","$12,569 ","$14,354 ","$14,354 ","$17,357 ",Columbia County
Transportation,"$11,173 ","$12,930 ","$16,288 ","$18,741 ","$12,930 ","$16,288 ","$18,741 ","$18,719 ","$12,930 ","$16,288 ","$18,741 ","$18,719 ",Columbia County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Columbia County
Internet & Mobile,"$1,483 ","$1,483 ","$1,483 ","$1,483 ","$2,048 ","$2,048 ","$2,048 ","$2,048 ","$2,048 ","$2,048 ","$2,048 ","$2,048 ",Columbia County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Columbia County
Required annual income after taxes,"$40,516 ","$71,804 ","$94,089 ","$119,881 ","$55,102 ","$66,073 ","$76,337 ","$80,712 ","$55,102 ","$81,062 ","$105,237 ","$121,818 ",Columbia County
Annual taxes,"$7,725 ","$11,314 ","$15,786 ","$23,183 ","$8,808 ","$9,181 ","$9,380 ","$8,071 ","$8,808 ","$12,289 ","$15,320 ","$18,228 ",Columbia County
Required annual income before taxes,"$48,242 ","$83,118 ","$109,876 ","$143,064 ","$63,909 ","$75,254 ","$85,718 ","$88,783 ","$63,909 ","$93,351 ","$120,556 ","$140,047 ",Columbia County
Food,"$4,123 ","$6,078 ","$9,117 ","$12,117 ","$7,559 ","$9,410 ","$12,119 ","$14,776 ","$7,559 ","$9,410 ","$12,119 ","$14,776 ",Cortland County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Cortland County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Cortland County
Housing,"$9,650 ","$11,966 ","$11,966 ","$14,655 ","$9,710 ","$11,966 ","$11,966 ","$14,655 ","$9,710 ","$11,966 ","$11,966 ","$14,655 ",Cortland County
Transportation,"$10,319 ","$11,942 ","$15,042 ","$17,308 ","$11,942 ","$15,042 ","$17,308 ","$17,288 ","$11,942 ","$15,042 ","$17,308 ","$17,288 ",Cortland County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Cortland County
Internet & Mobile,"$1,473 ","$1,473 ","$1,473 ","$1,473 ","$2,039 ","$2,039 ","$2,039 ","$2,039 ","$2,039 ","$2,039 ","$2,039 ","$2,039 ",Cortland County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Cortland County
Required annual income after taxes,"$36,561 ","$64,778 ","$83,712 ","$106,761 ","$50,709 ","$61,802 ","$71,649 ","$75,487 ","$50,709 ","$73,498 ","$94,417 ","$108,475 ",Cortland County
Annual taxes,"$6,712 ","$9,289 ","$11,918 ","$18,078 ","$7,685 ","$8,090 ","$8,179 ","$6,732 ","$7,685 ","$10,351 ","$12,548 ","$13,719 ",Cortland County
Required annual income before taxes,"$43,273 ","$74,067 ","$95,630 ","$124,839 ","$58,394 ","$69,892 ","$79,828 ","$82,219 ","$58,394 ","$83,849 ","$106,965 ","$122,194 ",Cortland County
Food,"$4,585 ","$6,759 ","$10,138 ","$13,475 ","$8,406 ","$10,464 ","$13,476 ","$16,431 ","$8,406 ","$10,464 ","$13,476 ","$16,431 ",Delaware County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Delaware County
Medical,"$3,955 ","$9,607 ","$9,458 ","$10,072 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ",Delaware County
Housing,"$9,469 ","$10,916 ","$10,916 ","$15,379 ","$9,626 ","$10,916 ","$10,916 ","$15,379 ","$9,626 ","$10,916 ","$10,916 ","$15,379 ",Delaware County
Transportation,"$10,443 ","$12,085 ","$15,223 ","$17,516 ","$12,085 ","$15,223 ","$17,516 ","$17,496 ","$12,085 ","$15,223 ","$17,516 ","$17,496 ",Delaware County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Delaware County
Internet & Mobile,"$1,505 ","$1,505 ","$1,505 ","$1,505 ","$2,071 ","$2,071 ","$2,071 ","$2,071 ","$2,071 ","$2,071 ","$2,071 ","$2,071 ",Delaware County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Delaware County
